Year,Month,Day,Hour,Minute,Temperature,,,
2016,11,19,11,0,8.25,,,
2016,11,19,12,0,7.35,,,
2016,11,19,13,0,8.74,,,
2016,11,19,14,0,8.93,,,
2016,11,19,15,0,8.88,,,
2016,11,19,16,0,8.55,,,
2016,11,19,17,0,7.5,,,
2016,11,19,18,0,5.86,,,
2016,11,19,19,0,5.06,,,
2016,11,19,20,0,5.35,,,
2016,11,19,21,0,5.8,,,
2016,11,19,22,0,5.88,,,
2016,11,19,23,0,5.81,,,
2016,11,20,0,0,4.97,,,
2016,11,20,1,0,3.9,,,
2016,11,20,2,0,3.79,,,
2016,11,20,3,0,4.15,,,
2016,11,20,4,0,4.53,,,
2016,11,20,5,0,3.58,,,
2016,11,20,6,0,2.33,,,
2016,11,20,7,0,2.24,,,
2016,11,20,8,0,0.53,,,
2016,11,20,9,0,2.82,,,
2016,11,20,10,0,7.36,,,
2016,11,20,11,0,10.41,,,
2016,11,20,12,0,12,,,
2016,11,20,13,0,14,,,
2016,11,20,14,0,14.54,,,
2016,11,20,15,0,14.31,,,
2016,11,20,16,0,13.39,,,
2016,11,20,17,0,11.08,,,
2016,11,20,18,0,8.05,,,
2016,11,20,19,0,7.28,,,
2016,11,20,20,0,6.2,,,
2016,11,20,21,0,5.31,,,
2016,11,20,22,0,4.48,,,
2016,11,20,23,0,3.61,,,
2016,11,21,0,0,3.92,,,
2016,11,21,1,0,5,,,
2016,11,21,2,0,4.9,,,
2016,11,21,3,0,5.15,,,
2016,11,21,4,0,6.38,,,
2016,11,21,5,0,8.36,,,
2016,11,21,6,0,9.13,,,
2016,11,21,7,0,8.84,,,
2016,11,21,8,0,8.7,,,
2016,11,21,9,0,8.83,,,
2016,11,21,10,0,9.54,,,
2016,11,21,11,0,10.32,,,
2016,11,21,12,0,10.7,,,
2016,11,21,13,0,11.42,,,
2016,11,21,14,0,12.09,,,
2016,11,21,15,0,11.81,,,
2016,11,21,16,0,12.18,,,
2016,11,21,17,0,11.62,,,
2016,11,21,18,0,10.58,,,
2016,11,21,19,0,10.8,,,
2016,11,21,20,0,12.77,,,
2016,11,21,21,0,12.72,,,
2016,11,21,22,0,10.92,,,
2016,11,21,23,0,10.26,,,
2016,11,22,0,0,8.63,,,
2016,11,22,1,0,9.55,,,
2016,11,22,2,0,9.47,,,
2016,11,22,3,0,8.56,,,
2016,11,22,4,0,8.43,,,
2016,11,22,5,0,7.89,,,
2016,11,22,6,0,8.11,,,
2016,11,22,7,0,8.32,,,
2016,11,22,8,0,8.45,,,
2016,11,22,9,0,8.55,,,
2016,11,22,10,0,9.36,,,
2016,11,22,11,0,10.24,,,
2016,11,22,12,0,10.11,,,
2016,11,22,13,0,14.07,,,
2016,11,22,14,0,14.31,,,
2016,11,22,15,0,14.42,,,
2016,11,22,16,0,14.35,,,
2016,11,22,17,0,11.89,,,
2016,11,22,18,0,10.95,,,
2016,11,22,19,0,10.97,,,
2016,11,22,20,0,11.04,,,
2016,11,22,21,0,11.11,,,
2016,11,22,22,0,11.37,,,
2016,11,22,23,0,11.14,,,
2016,11,23,0,0,10.12,,,
2016,11,23,1,0,9.16,,,
2016,11,23,2,0,9.47,,,
2016,11,23,3,0,9.34,,,
2016,11,23,4,0,10.31,,,
2016,11,23,5,0,9.87,,,
2016,11,23,6,0,9.79,,,
2016,11,23,7,0,9.07,,,
2016,11,23,8,0,9,,,
2016,11,23,9,0,10.02,,,
2016,11,23,10,0,11.05,,,
2016,11,23,11,0,12.99,,,
2016,11,23,12,0,14.39,,,
2016,11,23,13,0,15.56,,,
2016,11,23,14,0,15.28,,,
2016,11,23,15,0,13.64,,,
2016,11,23,16,0,13.4,,,
2016,11,23,17,0,12.44,,,
2016,11,23,18,0,11.75,,,
2016,11,23,19,0,11.1,,,
2016,11,23,20,0,10.58,,,
2016,11,23,21,0,9.86,,,
2016,11,23,22,0,9.28,,,
2016,11,23,23,0,9.43,,,
